,0
0,-61.18419421224834
1,-61.017940203350015
2,-60.85168619445169
3,-60.68543218555335
4,-60.519178176655025
5,-60.3529241677567
6,-60.18667015885837
7,-60.02041614996004
8,-59.85416214106171
9,-59.68790813216338
10,-59.52165412326505
11,-59.355400114366724
12,-59.189146105468396
13,-59.02289209657006
14,-58.85663808767173
15,-58.690384078773405
16,-58.52413006987508
17,-58.35787606097675
18,-58.191622052078415
19,-58.02536804318009
20,-57.85911403428176
21,-57.69286002538343
22,-57.526606016485104
23,-57.36035200758677
24,-57.19409799868844
25,-57.027843989790114
26,-56.861589980891786
27,-56.69533597199346
28,-56.52908196309512
29,-56.362827954196796
30,-56.19657394529847
31,-56.03031993640014
32,-55.86406592750181
33,-55.69781191860348
34,-55.53155790970515
35,-55.36530390080682
36,-55.199049891908494
37,-55.03279588301017
38,-54.86654187411184
39,-54.700287865213504
40,-54.534033856315176
41,-54.36777984741685
42,-54.20152583851852
43,-54.03527182962019
44,-53.86901782072186
45,-53.70276381182353
46,-53.5365098029252
47,-53.370255794026875
48,-53.20400178512855
49,-53.03774777623022
50,-52.871493767331884
51,-52.70523975843356
52,-52.53898574953523
53,-52.3727317406369
54,-52.20647773173857
55,-52.04022372284024
56,-51.87396971394191
57,-51.70771570504358
58,-51.541461696145255
59,-51.37520768724693
60,-51.20895367834859
61,-51.042699669450265
62,-50.87644566055194
63,-50.71019165165361
64,-50.54393764275528
65,-50.37768363385695
66,-50.21142962495862
67,-50.04517561606029
68,-49.87892160716196
69,-49.712667598263636
70,-49.5464135893653
71,-49.38015958046697
72,-49.213905571568645
73,-49.04765156267032
74,-48.88139755377199
75,-48.715143544873655
76,-48.54888953597533
77,-48.382635527077
78,-48.21638151817867
79,-48.050127509280344
80,-47.88387350038201
81,-47.71761949148368
82,-47.551365482585354
83,-47.385111473687026
84,-47.2188574647887
85,-47.05260345589036
86,-46.886349446992035
87,-46.72009543809371
88,-46.55384142919538
89,-46.38758742029705
90,-46.22133341139872
91,-46.05507940250039
92,-45.88882539360206
93,-45.722571384703734
94,-45.556317375805406
95,-45.39006336690707
96,-45.223809358008744
97,-45.057555349110416
98,-44.89130134021209
99,-44.72504733131376
100,-44.558793322415426
101,-44.392539313517105
102,-44.22628530461877
103,-44.06003129572044
104,-43.893777286822115
105,-43.72752327792378
106,-43.56126926902546
107,-43.395015260127124
108,-43.228761251228796
109,-43.06250724233047
110,-42.896253233432134
111,-42.72999922453381
112,-42.56374521563548
113,-42.39749120673715
114,-42.23123719783882
115,-42.06498318894049
116,-41.89872918004217
117,-41.73247517114383
118,-41.566221162245505
119,-41.39996715334718
120,-41.23371314444884
121,-41.06745913555052
122,-40.90120512665219
123,-40.73495111775386
124,-40.56869710885553
125,-40.402443099957196
126,-40.236189091058876
127,-40.06993508216054
128,-39.90368107326221
129,-39.737427064363885
130,-39.57117305546555
131,-39.40491904656723
132,-39.238665037668895
133,-39.07241102877057
134,-38.90615701987224
135,-38.739903010973904
136,-38.573649002075584
137,-38.40739499317725
138,-38.24114098427892
139,-38.07488697538059
140,-37.90863296648226
141,-37.74237895758394
142,-37.5761249486856
143,-37.409870939787275
144,-37.24361693088895
145,-37.07736292199061
146,-36.91110891309229
147,-36.74485490419396
148,-36.57860089529563
149,-36.4123468863973
150,-36.24609287749897
151,-36.079838868600646
152,-35.91358485970231
153,-35.74733085080398
154,-35.581076841905656
155,-35.41482283300732
156,-35.248568824109
157,-35.082314815210665
158,-34.91606080631234
159,-34.74980679741401
160,-34.58355278851568
161,-34.417298779617354
162,-34.25104477071902
163,-34.08479076182069
164,-33.918536752922364
165,-33.752282744024036
166,-33.58602873512571
167,-33.419774726227374
168,-33.253520717329046
169,-33.08726670843072
170,-32.92101269953239
171,-32.75475869063406
172,-32.58850468173573
173,-32.4222506728374
174,-32.25599666393907
175,-32.089742655040745
176,-31.923488646142413
177,-31.757234637244085
178,-31.590980628345754
179,-31.424726619447426
180,-31.2584726105491
181,-31.092218601650767
182,-30.92596459275244
183,-30.759710583854112
184,-30.59345657495578
185,-30.427202566057453
186,-30.26094855715912
187,-30.094694548260794
188,-29.928440539362466
189,-29.762186530464135
190,-29.595932521565807
191,-29.429678512667476
192,-29.263424503769148
193,-29.097170494870817
194,-28.93091648597249
195,-28.76466247707416
196,-28.598408468175833
197,-28.432154459277506
198,-28.26590045037917
199,-28.099646441480843
200,-27.933392432582515
201,-27.767138423684187
202,-27.60088441478586
203,-27.434630405887525
204,-27.268376396989197
205,-27.10212238809087
206,-26.93586837919254
207,-26.769614370294214
208,-26.60336036139588
209,-26.43710635249755
210,-26.270852343599223
211,-26.104598334700896
212,-25.938344325802568
213,-25.772090316904233
214,-25.605836308005905
215,-25.439582299107578
216,-25.27332829020925
217,-25.107074281310922
218,-24.940820272412587
219,-24.77456626351426
220,-24.60831225461593
221,-24.442058245717604
222,-24.275804236819276
223,-24.10955022792094
224,-23.943296219022614
225,-23.777042210124286
226,-23.610788201225958
227,-23.44453419232763
