,Date,Unix,Ticker,DE Ratio,Stock Price,Stock Percent Change,S&P 500 Date,S&P 500 Value,SP500 Percent Change
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,,2004-01-30,"2997    1131.130005
Name: Adj Close, dtype: float64",
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,,2004-04-13,"2947    1129.439941
Name: Adj Close, dtype: float64",
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,,2004-12-13,"2778    1198.680054
Name: Adj Close, dtype: float64",
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.80,,2005-01-22,"Series([], Name: Adj Close, dtype: float64)",
4,2006-01-09 02:35:16,1136792116.0,a,0,34.65,,2006-01-09,"2508    1290.150024
Name: Adj Close, dtype: float64",
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,,2006-06-21,"2395    1252.199951
Name: Adj Close, dtype: float64",
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.80,,2006-08-19,"Series([], Name: Adj Close, dtype: float64)",
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,,2007-02-20,"2229    1459.680054
Name: Adj Close, dtype: float64",
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,,2007-04-12,"2193    1447.800049
Name: Adj Close, dtype: float64",
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,,2008-01-23,"1996    1338.599976
Name: Adj Close, dtype: float64",
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,,2008-02-14,"1980    1348.859985
Name: Adj Close, dtype: float64",
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,,2008-04-26,"Series([], Name: Adj Close, dtype: float64)",
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,,2008-12-06,"Series([], Name: Adj Close, dtype: float64)",
13,2009-08-02 05:46:24,1249206384.0,a,N/A,"<span id=""yfs_l10_a"">23.22</span>",,2009-08-02,"Series([], Name: Adj Close, dtype: float64)",
14,2011-08-02 06:45:37,1312281937.0,a,54.36,"<span id=""yfs_l10_a"">40.79</span>",,2011-08-02,"1107    1254.050049
Name: Adj Close, dtype: float64",
15,2011-11-08 05:04:16,1320746656.0,a,51.62,"<span id=""yfs_l10_a"">37.74</span>",,2011-11-08,"1038    1275.920044
Name: Adj Close, dtype: float64",
16,2013-05-14 00:28:58,1368505738.0,a,44.12,"_a"">43.04",,2013-05-14,"660    1650.339966
Name: Adj Close, dtype: float64",
17,2013-09-06 06:09:52,1378462192.0,a,56.39,"_a"">47.68",,2013-09-06,"580    1655.170044
Name: Adj Close, dtype: float64",
18,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,,2004-04-13,"2947    1129.439941
Name: Adj Close, dtype: float64",
19,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,,2004-09-09,"2844    1118.380005
Name: Adj Close, dtype: float64",
20,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,,2004-11-24,"2790    1181.76001
Name: Adj Close, dtype: float64",
21,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,,2004-12-05,"Series([], Name: Adj Close, dtype: float64)",
22,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,,2005-01-13,"2756    1177.449951
Name: Adj Close, dtype: float64",
23,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,,2005-02-07,"2740    1201.719971
Name: Adj Close, dtype: float64",
24,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,,2005-05-22,"Series([], Name: Adj Close, dtype: float64)",
25,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.10,,2006-06-20,"2396    1240.119995
Name: Adj Close, dtype: float64",
26,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,,2007-01-25,"2246    1423.900024
Name: Adj Close, dtype: float64",
27,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,,2007-02-23,"2226    1451.189941
Name: Adj Close, dtype: float64",
28,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,,2007-05-16,"2169    1514.140015
Name: Adj Close, dtype: float64",
29,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,,2007-06-22,"2143    1502.560059
Name: Adj Close, dtype: float64",
30,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,,2007-10-11,"2066    1554.410034
Name: Adj Close, dtype: float64",
31,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,,2008-01-23,"1996    1338.599976
Name: Adj Close, dtype: float64",
32,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,,2008-10-28,"1802    940.51001
Name: Adj Close, dtype: float64",
33,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,,2008-12-05,"1775    876.070007
Name: Adj Close, dtype: float64",
34,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,,2008-12-06,"Series([], Name: Adj Close, dtype: float64)",
35,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,,2008-12-18,"1766    885.280029
Name: Adj Close, dtype: float64",
36,2009-03-09 18:17:50,1236637070.0,aa,N/A,5.49,,2009-03-09,"1713    676.530029
Name: Adj Close, dtype: float64",
37,2011-09-03 09:21:23,1315056083.0,aa,48.26,"<span id=""yfs_l10_aa"">12.04</span>",,2011-09-03,"Series([], Name: Adj Close, dtype: float64)",
38,2011-11-02 22:04:47,1320285887.0,aa,50.93,"<span id=""yfs_l10_aa"">10.70</span>",,2011-11-02,"1042    1237.900024
Name: Adj Close, dtype: float64",
39,2011-11-05 21:29:24,1320542964.0,aa,50.93,"<span id=""yfs_l10_aa"">10.93</span>",,2011-11-05,"Series([], Name: Adj Close, dtype: float64)",
40,2012-01-02 19:42:06,1325551326.0,aa,50.93,"<span id=""yfs_l10_aa"">8.65</span>",,2012-01-02,"Series([], Name: Adj Close, dtype: float64)",
41,2012-03-09 07:34:06,1331296446.0,aa,54.50,"_aa"">9.77",,2012-03-09,"955    1370.869995
Name: Adj Close, dtype: float64",
42,2012-03-19 02:24:48,1332138288.0,aa,54.50,"_aa"">10.54",,2012-03-19,"949    1409.75
Name: Adj Close, dtype: float64",
43,2012-05-19 11:51:52,1337442712.0,aa,55.28,"_aa"">8.43",,2012-05-19,"Series([], Name: Adj Close, dtype: float64)",
44,2012-07-29 16:51:57,1343595117.0,aa,56.42,"_aa"">8.45",,2012-07-29,"Series([], Name: Adj Close, dtype: float64)",
45,2012-11-27 11:38:14,1354034294.0,aa,56.51,"_aa"">8.31",,2012-11-27,"775    1398.939941
Name: Adj Close, dtype: float64",
46,2013-01-22 17:52:37,1358895157.0,aa,53.49,"_aa"">9.16",,2013-01-22,"738    1492.560059
Name: Adj Close, dtype: float64",
47,2013-04-23 20:02:57,1366761777.0,aa,53.21,"_aa"">8.12",,2013-04-23,"675    1578.780029
Name: Adj Close, dtype: float64",
48,2013-04-26 20:55:15,1367024115.0,aa,53.21,"_aa"">8.27",,2013-04-26,"672    1582.23999
Name: Adj Close, dtype: float64",
49,2013-09-01 04:25:11,1378023911.0,aa,52.71,"_aa"">7.70",,2013-09-01,"Series([], Name: Adj Close, dtype: float64)",
50,2003-12-07 10:36:10,1070811370.0,aapl,0.072,20.85,,2003-12-07,"Series([], Name: Adj Close, dtype: float64)",
51,2004-02-03 07:33:34,1075811614.0,aapl,0.07,22.32,,2004-02-03,"2995    1136.030029
Name: Adj Close, dtype: float64",
52,2004-06-03 01:20:38,1086240038.0,aapl,0,28.92,,2004-06-03,"2911    1116.640015
Name: Adj Close, dtype: float64",
53,2004-08-10 02:02:44,1092117764.0,aapl,0,30.30,,2004-08-10,"2865    1079.040039
Name: Adj Close, dtype: float64",
54,2004-10-12 05:40:57,1097574057.0,aapl,0,38.59,,2004-10-12,"2821    1121.839966
Name: Adj Close, dtype: float64",
55,2004-12-04 14:16:51,1102187811.0,aapl,0,62.68,,2004-12-04,"Series([], Name: Adj Close, dtype: float64)",
56,2005-01-26 15:16:47,1106770607.0,aapl,0,71.94,,2005-01-26,"2748    1174.069946
Name: Adj Close, dtype: float64",
57,2005-02-04 03:07:08,1107504428.0,aapl,0,77.81,,2005-02-04,"2741    1203.030029
Name: Adj Close, dtype: float64",
58,2005-03-01 10:36:03,1109691363.0,aapl,0,44.86,,2005-03-01,"2725    1210.410034
Name: Adj Close, dtype: float64",
59,2005-12-17 11:55:53,1134838553.0,aapl,0,71.11,,2005-12-17,"Series([], Name: Adj Close, dtype: float64)",
60,2006-01-25 09:43:52,1138200232.0,aapl,0,76.04,,2006-01-25,"2497    1264.680054
Name: Adj Close, dtype: float64",
61,2006-02-03 13:49:59,1138992599.0,aapl,0,72.10,,2006-02-03,"2490    1264.030029
Name: Adj Close, dtype: float64",
62,2006-02-07 09:17:30,1139321850.0,aapl,0,67.30,,2006-02-07,"2488    1254.780029
Name: Adj Close, dtype: float64",
63,2006-02-17 15:01:01,1140206461.0,aapl,0,70.21,,2006-02-17,"2480    1287.23999
Name: Adj Close, dtype: float64",
64,2007-02-17 21:52:03,1171767123.0,aapl,N/A,84.83,,2007-02-17,"Series([], Name: Adj Close, dtype: float64)",
65,2007-02-19 17:27:55,1171924075.0,aapl,N/A,84.83,,2007-02-19,"Series([], Name: Adj Close, dtype: float64)",
66,2008-01-23 06:28:45,1201087725.0,aapl,N/A,155.64,,2008-01-23,"1996    1338.599976
Name: Adj Close, dtype: float64",
67,2008-10-27 05:55:02,1225101302.0,aapl,N/A,96.38,,2008-10-27,"1803    848.919983
Name: Adj Close, dtype: float64",
68,2008-10-29 21:14:51,1225329291.0,aapl,N/A,104.55,,2008-10-29,"1801    930.090027
Name: Adj Close, dtype: float64",
69,2008-10-31 22:34:03,1225506843.0,aapl,N/A,107.59,,2008-10-31,"1799    968.75
Name: Adj Close, dtype: float64",
70,2008-12-03 23:41:54,1228365714.0,aapl,N/A,95.90,,2008-12-03,"1777    870.73999
Name: Adj Close, dtype: float64",
71,2008-12-07 14:27:24,1228678044.0,aapl,N/A,94.00,,2008-12-07,"Series([], Name: Adj Close, dtype: float64)",
