,Stock,Slope,Y-intercept,Score
0,A,[0.03067045],13.85991027338445,0.8126928721318715
1,AAL,[0.00659913],20.47338523562535,0.1121101374802046
2,AAP,[0.03721253],76.99623995488571,0.5277570139057837
3,AAPL,[0.03301738],-3.322469020567823,0.6900177686064041
4,ABBV,[0.02813709],42.52807953198989,0.7346160388985896
5,ABC,[0.02432946],44.58538370247817,0.6319633549659498
6,ABMD,[0.13498469],-46.11738865489829,0.7372961601773542
7,ABT,[0.03074926],13.200245800150377,0.8327590485914425
8,ACN,[0.07417321],25.80554667229528,0.9002045676127731
9,ADBE,[0.16625401],-61.18419421224834,0.8256218777588069
10,ADI,[0.04019449],20.162050438442918,0.8858460491734421
11,ADM,[0.00657982],32.23187371962925,0.4122206932777126
12,ADP,[0.05451976],27.124976472338588,0.9274890561713386
13,ADSK,[0.08453831],-13.13515124112935,0.7953133956777985
14,AEE,[0.02205274],21.937260557869106,0.9402586220454773
15,AEP,[0.02204694],33.196368026267606,0.9246047206160593
16,AES,[0.00273028],10.226663563799871,0.323080234335682
17,AFL,[0.01100635],20.848331926988394,0.7583935737311593
18,AIG,[0.00476638],41.1319845501627,0.08717769871707803
19,AIZ,[0.03964433],27.93270574054221,0.9218529693506264
20,AJG,[0.03146133],17.877053330992197,0.8265158844269362
21,AKAM,[0.02664168],27.069261226488848,0.7837262641891793
22,ALB,[0.02294813],48.11308941902492,0.40133944015201817
23,ALGN,[0.16083188],-63.513387872938125,0.7283182664391725
24,ALK,[0.01881396],26.69602817985652,0.37725490802630524
25,ALL,[0.03421761],26.08949539976227,0.9249099846441743
26,ALLE,[0.03933466],43.13991566088661,0.8874190107366196
27,ALXN,[0.01611997],101.13669642201016,0.11686323722903535
28,AMAT,[0.02741067],-1.9053529083141783,0.6925096203127776
29,AMCR,[0.00093379],9.20782045140635,0.2676203324352815
30,AMD,[0.02319612],-12.426427719125702,0.5579511867279737
31,AME,[0.03087889],19.909068153216168,0.8541394245608174
32,AMGN,[0.07143702],57.02957760419086,0.9383772311112556
33,AMP,[0.04965428],50.28484142164491,0.7400920436790608
34,AMT,[0.07636266],25.657708805571033,0.8817567805745874
35,AMZN,[1.10484758],-424.40585197869973,0.8204691023769453
36,ANET,[0.14956553],40.77430706444193,0.7521621334814383
37,ANSS,[0.09871769],3.826870678470897,0.7724823620079535
38,ANTM,[0.11167309],20.49361397981116,0.9072033480465422
39,AON,[0.07064396],23.691340840833973,0.9404907717351118
40,AOS,[0.02121812],8.786040723069288,0.8156491453378614
41,APA,[-0.0383629],109.36652505130597,0.8937868220855558
42,APD,[0.07535139],47.47560652279155,0.861242380954905
43,APH,[0.01921228],7.226747102367369,0.9340896535596657
