,Unnamed: 0,Regression
0,0,1044.20831323353
1,1,1045.1239865616824
2,2,1046.0396598898342
3,3,1046.9553332179864
4,4,1047.8710065461382
5,5,1048.7866798742903
6,6,1049.7023532024423
7,7,1050.6180265305943
8,8,1051.5336998587466
9,9,1052.4493731868988
10,10,1053.3650465150508
11,11,1054.2807198432029
12,12,1055.1963931713547
13,13,1056.112066499507
14,14,1057.0277398276594
15,15,1057.9434131558114
16,16,1058.8590864839632
17,17,1059.7747598121152
18,18,1060.6904331402673
19,19,1061.6061064684197
20,20,1062.5217797965718
21,21,1063.4374531247236
22,22,1064.3531264528756
23,23,1065.2687997810276
24,24,1066.1844731091796
25,25,1067.1001464373321
26,26,1068.015819765484
27,27,1068.931493093636
28,28,1069.847166421788
29,29,1070.76283974994
30,30,1071.6785130780922
31,31,1072.5941864062443
32,32,1073.5098597343963
33,33,1074.4255330625483
34,34,1075.3412063907003
35,35,1076.2568797188524
36,36,1077.1725530470046
37,37,1078.0882263751566
38,38,1079.0038997033087
39,39,1079.9195730314607
40,40,1080.8352463596127
41,41,1081.750919687765
42,42,1082.666593015917
43,43,1083.582266344069
44,44,1084.497939672221
45,45,1085.4136130003728
46,46,1086.3292863285249
47,47,1087.2449596566773
48,48,1088.1606329848294
49,49,1089.0763063129814
50,50,1089.9919796411334
51,51,1090.9076529692854
52,52,1091.8233262974377
53,53,1092.7389996255897
54,54,1093.6546729537415
55,55,1094.5703462818938
56,56,1095.4860196100458
57,57,1096.401692938198
58,58,1097.3173662663498
59,59,1098.2330395945019
60,60,1099.1487129226539
61,61,1100.064386250806
62,62,1100.9800595789584
63,63,1101.8957329071104
64,64,1102.8114062352624
65,65,1103.7270795634142
66,66,1104.6427528915663
67,67,1105.5584262197183
68,68,1106.4740995478708
69,69,1107.3897728760228
70,70,1108.3054462041748
71,71,1109.2211195323268
72,72,1110.1367928604789
73,73,1111.0524661886313
74,74,1111.9681395167834
75,75,1112.8838128449354
76,76,1113.7994861730874
77,77,1114.7151595012392
78,78,1115.6308328293912
79,79,1116.5465061575437
80,80,1117.4621794856957
81,81,1118.3778528138478
82,82,1119.2935261419996
83,83,1120.2091994701516
84,84,1121.1248727983036
85,85,1122.040546126456
86,86,1122.956219454608
87,87,1123.87189278276
88,88,1124.787566110912
89,89,1125.703239439064
90,90,1126.6189127672162
91,91,1127.5345860953682
92,92,1128.4502594235205
93,93,1129.3659327516725
94,94,1130.2816060798245
95,95,1131.1972794079766
96,96,1132.1129527361286
97,97,1133.0286260642806
98,98,1133.9442993924326
99,99,1134.8599727205847
100,100,1135.7756460487367
101,101,1136.691319376889
102,102,1137.606992705041
103,103,1138.522666033193
104,104,1139.438339361345
105,105,1140.354012689497
106,106,1141.2696860176493
107,107,1142.1853593458013
108,108,1143.1010326739533
109,109,1144.0167060021056
110,110,1144.9323793302576
111,111,1145.8480526584094
112,112,1146.7637259865614
113,113,1147.6793993147135
114,114,1148.5950726428655
115,115,1149.5107459710175
116,116,1150.4264192991698
117,117,1151.342092627322
118,118,1152.257765955474
119,119,1153.1734392836258
120,120,1154.0891126117779
121,121,1155.00478593993
122,122,1155.920459268082
123,123,1156.8361325962344
124,124,1157.7518059243864
125,125,1158.6674792525384
126,126,1159.5831525806905
127,127,1160.4988259088425
128,128,1161.4144992369947
129,129,1162.3301725651468
130,130,1163.2458458932988
131,131,1164.1615192214508
132,132,1165.0771925496028
133,133,1165.9928658777549
134,134,1166.9085392059073
135,135,1167.8242125340594
136,136,1168.7398858622114
137,137,1169.6555591903634
138,138,1170.5712325185154
139,139,1171.4869058466675
140,140,1172.4025791748195
141,141,1173.3182525029715
142,142,1174.2339258311235
143,143,1175.1495991592756
144,144,1176.0652724874278
145,145,1176.9809458155796
146,146,1177.896619143732
147,147,1178.812292471884
148,148,1179.727965800036
149,149,1180.6436391281884
150,150,1181.5593124563402
151,151,1182.4749857844922
152,152,1183.3906591126442
153,153,1184.3063324407965
154,154,1185.2220057689485
155,155,1186.1376790971005
156,156,1187.0533524252526
157,157,1187.9690257534046
158,158,1188.8846990815566
159,159,1189.8003724097086
160,160,1190.7160457378611
161,161,1191.631719066013
162,162,1192.547392394165
163,163,1193.463065722317
164,164,1194.378739050469
165,165,1195.294412378621
166,166,1196.2100857067733
167,167,1197.1257590349253
168,168,1198.0414323630773
169,169,1198.9571056912293
170,170,1199.8727790193816
171,171,1200.7884523475336
172,172,1201.7041256756854
173,173,1202.6197990038374
174,174,1203.5354723319895
175,175,1204.4511456601415
176,176,1205.3668189882935
177,177,1206.282492316446
178,178,1207.198165644598
179,179,1208.11383897275
180,180,1209.0295123009018
181,181,1209.9451856290539
182,182,1210.8608589572066
183,183,1211.7765322853584
184,184,1212.6922056135104
185,185,1213.6078789416624
186,186,1214.5235522698144
187,187,1215.4392255979665
188,188,1216.3548989261187
189,189,1217.2705722542707
190,190,1218.1862455824228
191,191,1219.1019189105748
192,192,1220.017592238727
193,193,1220.933265566879
194,194,1221.8489388950309
195,195,1222.7646122231833
196,196,1223.6802855513354
197,197,1224.5959588794874
198,198,1225.5116322076394
199,199,1226.4273055357914
200,200,1227.3429788639435
201,201,1228.2586521920955
202,202,1229.1743255202475
203,203,1230.0899988483998
204,204,1231.0056721765518
205,205,1231.9213455047036
206,206,1232.8370188328556
207,207,1233.752692161008
208,208,1234.66836548916
209,209,1235.584038817312
210,210,1236.4997121454644
211,211,1237.4153854736162
212,212,1238.3310588017682
213,213,1239.2467321299202
214,214,1240.1624054580725
215,215,1241.0780787862245
216,216,1241.9937521143765
217,217,1242.9094254425286
218,218,1243.8250987706806
219,219,1244.7407720988326
220,220,1245.6564454269846
221,221,1246.5721187551371
222,222,1247.487792083289
223,223,1248.403465411441
224,224,1249.319138739593
225,225,1250.2348120677452
226,226,1251.1504853958972
227,227,1252.0661587240493
228,228,1252.9818320522013
229,229,1253.8975053803533
230,230,1254.8131787085053
231,231,1255.7288520366576
232,232,1256.6445253648096
233,233,1257.5601986929614
234,234,1258.4758720211134
235,235,1259.3915453492655
236,236,1260.307218677418
237,237,1261.22289200557
238,238,1262.138565333722
239,239,1263.054238661874
240,240,1263.969911990026
241,241,1264.8855853181778
242,242,1265.8012586463306
243,243,1266.7169319744826
244,244,1267.6326053026344
245,245,1268.5482786307864
246,246,1269.4639519589384
247,247,1270.3796252870907
248,248,1271.2952986152427
249,249,1272.2109719433947
250,250,1273.1266452715467
251,251,1274.0423185996988
252,252,1274.9579919278508
253,253,1275.873665256003
254,254,1276.789338584155
255,255,1277.7050119123069
256,256,1278.6206852404594
257,257,1279.5363585686114
258,258,1280.4520318967634
259,259,1281.3677052249154
260,260,1282.2833785530675
261,261,1283.1990518812195
