,Stock,Slope,Y-intercept,Score
0,BKNG,[0.66698593],479.2680361947631,0.8684936844275243
1,GOOG,[0.57860734],62.46954551876911,0.879429104771142
2,GOOGL,[0.57704211],71.23072736747895,0.8880636269575843
3,AZO,[0.36014991],216.48041244245445,0.8598874285309231
4,MTD,[0.34917389],-0.6238061446386496,0.863670185127378
5,CMG,[0.26945917],213.88189055876342,0.4690037465757644
6,ISRG,[0.24083591],-3.6741677011350475,0.8089956333220891
7,EQIX,[0.23739802],33.465532529336656,0.9093499279533255
8,CHTR,[0.2161726],-27.561157713025608,0.9020551929485328
9,PAYC,[0.20991896],-55.343142318796566,0.8415771030485996
